,Period_EvCl,Period_StEv,Policy_agent_cat,FLAG_Owner_bl,FLAG_Insurer_bl,Policy_KBM,Policy_KS,Policy_KT,Policy_KVS,FLAG_Policy_KO,FLAG_Policy_KP,FLAG_Policy_KPR,FLAG_Policy_type,VEH_age,VEH_capacity_type,FLAG_bad_region,FLAG_dsago,FLAG_prolong,Policy_loss_count,Damage_count,Claim_type,FLAG_trial,Event_type_Классика,Event_type_ПВУ СП,Insurer_type_ПБОЮЛ,Insurer_type_Физическое Лицо,Insurer_type_Юридическое Лицо,Owner_region_Волгоградская область,Owner_region_Краснодарский край,Owner_region_Москва,Owner_region_Ростовская область,Owner_region_Челябинская область,Owner_type_ПБОЮЛ,Owner_type_Физическое Лицо,Owner_type_Юридическое Лицо,Sales_channel_Автодилеры,Sales_channel_Агенты и РБ,Sales_channel_ДКК,Sales_channel_Лизинг,Sales_channel_Прочие,Sales_channel_Собственные продажи,Sales_channel_Фронт-офис,VEH_aim_use_Дорожные и специальные ТС,VEH_aim_use_Личные,VEH_aim_use_Перевозка опасных и легко воспламеняющихся грузов,VEH_aim_use_Прокат/Краткосрочная аренда,VEH_aim_use_Прочие,VEH_aim_use_Регулярные/по заказам пассажирские перевозки,VEH_aim_use_Такси,VEH_aim_use_Учебная езда,VEH_aim_use_Экстренные и коммунальные службы,VEH_model_AUDI A4,VEH_model_AUDI A6,VEH_model_BMW 520,VEH_model_BMW X5,VEH_model_LEXUS RX,VEH_model_MERCEDES-BENZ C 180,VEH_model_MERCEDES-BENZ E 200,VEH_model_PORSCHE CAYENNE,VEH_model_TOYOTA LAND CRUISER,VEH_model_TOYOTA LAND CRUISER PRADO,VEH_type_name_Автобус более 16,VEH_type_name_Автобус менее 16,VEH_type_name_Автобус такси,VEH_type_name_Грузовой более 16,VEH_type_name_Грузовой менее 16,VEH_type_name_Легковой,VEH_type_name_Легковой такси,VEH_type_name_Мотоцикл,VEH_type_name_Трактор,Owner_region_another,VEH_model_another
1,59,361,0.060013984565044996,0,0,1.0,1.0,1.0,1.0,0,1,0,0,18.0,5.0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,2,308,0.087641344852024,0,0,0.9,1.0,0.9,1.0,0,1,0,0,15.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
9,25,279,0.061194735689969,0,0,0.55,1.0,1.1,1.0,1,1,1,0,9.0,7.0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
12,6,287,0.099483922412639,0,0,1.0,1.0,1.3,1.0,1,1,0,0,11.0,5.0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
19,6,223,0.063602607279573,0,0,0.9,1.0,1.4,1.6,0,1,0,0,0.0,4.0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
26,6,195,0.14958329912313,0,0,0.9,1.0,1.6,1.0,0,1,0,1,12.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
27,32,143,0.024282841576242,0,0,0.9,1.0,1.1,1.0,0,1,0,0,26.0,5.0,1,0,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,6,153,0.13429909833188,0,0,1.0,1.0,0.9,1.0,1,1,0,0,0.0,6.0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,3,113,0.13459066503569,0,0,1.0,1.0,1.3,1.0,1,1,0,0,0.0,4.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40,5,80,0.06053165321763201,0,0,0.95,1.0,0.8,1.0,0,1,0,0,6.0,6.0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
